Abbreviation,Meaning
1+2,first and second person
1+3,first and third person
abort,abortive
act,Actor
ade,adessive
adjz,adjectivizer
adm,admonitive
adp,adposition
advz,adverbalizer
aff,affirmative
agt,agent
ana,anaphoric
and,andative
anim,animate
antiappl,antiapplicative
antic,anticausative
asp,aspect
ass,associative
atten,attenuative
attr,attributive
attrz,attributivizer
aug,augmentative
av,actor voice
cap,(cap-)ability
cert,certainty
cess,cessative
circ,circumstantial
cisl,cislocative
cit,citation form
cntr,contrastive
col,collective
compr,comparative
conc,concessive
cont,continuative
cor,coreference
cpl,completive
dei,deixis/deictic
denmlz,denominalizer
dep,dependent
des,desiderative
detrz,detransitivizer
dim,diminutive
dir,direct
ditr,ditransitive
dm,discourse marker
do,direct object
ds,different subject
dub,dubitative
ela,elative
emp,emphatic
ep,epenthetic
epis,epistemic mood
ess,essive
evid,evidentiality
exist,existential
exp,experiental or direct evidentiality
eyewit,eyewitness
fam,familiar register
fin,finite
form,formal register
freq,frequentative
frust,frustrative
g,gender
ger,gerund
gno,gnomic
goal,goal
hab,habitual
hest,hesternal past
hist,historical past
hod,hodiernal past
hon,honorative
hort,hortative
hsy,hearsay/indirect evidentiality
hum,human
hyp,hypothetical
ideo,ideophone
ignor,ignorative
ill,illative
imm,immediate past
imperf,imperfect
imprs,impersonal
inal,inalienable
inan,inanimate
inch,inchoative
incpl,incompletive
ine,inessive
infr,inferred/conjectured evidentiality
int,intermediate past
inten,intentional
interj,interjection
ints,intensifier
inv,inverse
invis,invisible
io,indirect object
iter,iterative
jus,jussive
lat,lative
lk,linker
med,medial
mid,middle
min,minimal
mir,(ad)mirative
mod,modal
motimp,motional imperative
mvt,movement
narr,narrative
ncor,non-coreference
nfut,non-future
nhum,non-human
nonf,nonfinite
nposs,unpossessed
npst,non-past
nrec,non-recent past
nsg,non-singular
nspec,non-specific
obv,obviative
opt,optative
part,particle
pat,patient
pauc,paucal
pej,pejorativre
per,perlative
perm,permissive
pert,pertensive
plup,pluperfect
pnct,punctual
po,primary object
pol,polite
posimp,positional imperative
poste,postessive
postp,postposition
pot,potential
prep,preposition
priv,privative
pro,pronoun
prob,probability
pros,prosecutive
ptv,partitive
R,recipient-like argument in ditransitive clause
real,realis
reas,reason
rec,recent past
ref,referential
reit,reiterative
rem,remote past
rep,repetitive
resum,resumptive
rev,reversative
S_A_,S marked like A
S_P_,S marked like P
sap,speech act participant
sem,semelfactive
seq,sequential
sim,similative
so,secondary object
spec,specifier
src,source
ss,same subject
stat,stative
subr,subordinator
sup,supine
supl,superlative
T,theme-like argument in ditransitive clause
tel,telic
temp,temporal
term,terminative
tns,tense
transl,translative
trl,trial
trz,transitivizer
uncert,uncertainty
und,Undergoer
uv,undergoer voice
v,verb(al)
vbz,verbalizer
ven,venitive
vet,vetative
vis,visible
